Canada - International students by country of citizenship (2015 ranking) and year in which study permit(s) became effective, 2006 - Q3 2016*,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of citizenship,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Q1-Q3 2016,,,,,,,,,,,,,,,
China, People's Republic of,24045.00,26931.00,26555.00,33953.00,34548.00,41742.00,44831.00,53278.00,59605.00,66736.00,66734.00,,,,,,,,,,,,,,,
India,4899.00,5181.00,5250.00,8638.00,14985.00,17301.00,19949.00,21289.00,24498.00,32059.00,32835.00,,,,,,,,,,,,,,,
Korea, Republic of,26981.00,28684.00,25127.00,23523.00,19928.00,17589.00,14910.00,13748.00,14330.00,14762.00,13428.00,,,,,,,,,,,,,,,
France,6014.00,6402.00,6184.00,7254.00,7753.00,8689.00,9929.00,10369.00,11667.00,11887.00,10907.00,,,,,,,,,,,,,,,
Saudi Arabia,1015.00,1708.00,4035.00,7130.00,9995.00,11289.00,9649.00,9263.00,8827.00,7687.00,4516.00,,,,,,,,,,,,,,,
Nigeria,916.00,1267.00,1369.00,2048.00,2396.00,2805.00,3382.00,4591.00,5697.00,6385.00,5273.00,,,,,,,,,,,,,,,
Brazil,1568.00,2026.00,2547.00,2648.00,2849.00,3498.00,5694.00,8206.00,7766.00,6355.00,6080.00,,,,,,,,,,,,,,,
Japan,7202.00,6698.00,5386.00,5250.00,4822.00,5106.00,5499.00,5689.00,5684.00,6032.00,6051.00,,,,,,,,,,,,,,,
United States of America,6275.00,6522.00,5784.00,6137.00,6201.00,6258.00,6005.00,5759.00,5742.00,5729.00,5769.00,,,,,,,,,,,,,,,
Mexico,3300.00,3326.00,3213.00,3605.00,3728.00,4082.00,4193.00,4286.00,4063.00,4235.00,4395.00,,,,,,,,,,,,,,,
Vietnam,950.00,953.00,1130.00,1430.00,1992.00,2181.00,2236.00,2381.00,2756.00,2849.00,3844.00,,,,,,,,,,,,,,,
Iran,2228.00,2331.00,2512.00,2700.00,2875.00,2685.00,2772.00,2872.00,2352.00,2352.00,2377.00,,,,,,,,,,,,,,,
Pakistan,994.00,995.00,1118.00,1612.00,1863.00,2047.00,2339.00,2219.00,2128.00,2330.00,2058.00,,,,,,,,,,,,,,,
Taiwan,3456.00,3316.00,2771.00,2636.00,2359.00,2206.00,2252.00,2497.00,2240.00,2249.00,2282.00,,,,,,,,,,,,,,,
Hong Kong,1645.00,1786.00,1624.00,1576.00,1488.00,1309.00,1222.00,1788.00,1909.00,2108.00,2000.00,,,,,,,,,,,,,,,
United Kingdom and Colonies,3202.00,3030.00,2642.00,2354.00,2073.00,2105.00,2063.00,2096.00,1995.00,2040.00,2066.00,,,,,,,,,,,,,,,
Germany,2325.00,2671.00,2801.00,2699.00,2770.00,2398.00,2436.00,2161.00,2033.00,2033.00,2090.00,,,,,,,,,,,,,,,
Philippines,411.00,594.00,694.00,876.00,957.00,1217.00,1583.00,1616.00,1673.00,1884.00,2303.00,,,,,,,,,,,,,,,
Turkey,994.00,1084.00,1023.00,1295.00,1262.00,1257.00,1177.00,1255.00,1212.00,1630.00,1863.00,,,,,,,,,,,,,,,
Russia,702.00,836.00,1027.00,1154.00,1279.00,1532.00,1851.00,2244.00,1959.00,1530.00,1301.00,,,,,,,,,,,,,,,
Venezuela,575.00,624.00,654.00,628.00,914.00,997.00,1293.00,1314.00,1870.00,1506.00,1189.00,,,,,,,,,,,,,,,
Ukraine,283.00,376.00,411.00,560.00,540.00,715.00,1003.00,1200.00,1287.00,1472.00,1698.00,,,,,,,,,,,,,,,
